Genre,Description
Jazz,"Le jazz est un genre musical originaire du Sud des États-Unis, créé à la fin du XIXe siècle et au début du XXe siècle au sein des communautés afro-américaines. Avec plus de cent ans d'existence, du ragtime au jazz actuel, il recouvre de nombreux sous-genres marqués par un héritage de la musique euro-américaine et afro-américaine, et conçus pour être joués en public. Il émerge à partir d'autres genres musicaux, dont le ragtime, la marche, le negro spiritual et le blues, et comporte des caractéristiques telles que l'utilisation fréquente de l'improvisation, de la polyrythmie, de la syncope, du shuffle, du scat et des notes bleues. En route, il emprunte de nombreux éléments à la musique populaire américaine  et à la tradition des brass bands. Couramment associé aux cinq instruments emblématiques du jazz — le saxophone, la trompette, le trombone, la clarinette et le piano —, le jazz mobilise cependant un grand nombre d'instruments différents, dont la guitare, la batterie, et la contrebasse."
Jazz afro-cubain,Le jazz afro-cubain  est un courant du jazz issu du latin jazz. Il est développé par des musiciens d'origine afro-cubaine dans les années 1940 à Cuba. Les principaux représentants du genre sont les pianistes Bebo Valdés et Chucho Valdés.
Jazz blues,"Le jazz blues est un style musical qui combine le jazz et le blues,."
Jazz-funk,Le jazz-funk est le genre musical tiré du jazz ayant émergé aux États-Unis dans les années 1960.
Jazz fusion,"Le jazz fusion , aussi stylisé jazz-fusion et parfois simplement dénommé fusion, est un genre de jazz ayant émergé vers la fin des années 1960 aux États-Unis, mêlant des éléments extraits du jazz avec d'autres courants musicaux comme le rock et le funk."
Jazz manouche,"Le jazz manouche est un genre de jazz qui témoigne des apports stylistiques des musiques gitanes, manouches et d'Europe centrale  ainsi que du musette et de la chanson française dans le jazz, qui, dès 1932, arrive des États-Unis en Europe. Né en France dans les années 1930, il se caractérise dans sa forme originelle par une section rythmique assurée par deux guitares et une contrebasse, un violon et l'absence de percussions, de cuivres et de bois – un « jazz sans tambour ni trompette »."
Jazz modal,"Le jazz modal est un genre musical de jazz ayant émergé à la fin des années 1950, et qui a exercé une certaine influence jusque dans les années 1970."
Jazz Nouvelle-Orléans,"Le jazz Nouvelle-Orléans  est un genre de jazz ayant émergé dans les années 1910 à La Nouvelle-Orléans, aux États-Unis, — avant d'émigrer vers Chicago — avant de s'éclipser face au middle jazz vers la fin des années 1920."
Jazz punk,"Le jazz punk est un sous-genre du jazz et du punk rock, dans lequel sont fusionnés des éléments de jazz. Des groupes comme The Plot to Blow Up the Eiffel Tower, Nomeansno, Television, The Minutemen ou les Bérurier noir sont les premiers groupes punk à avoir utilisé des éléments de jazz."
Jazz rap,"Le hip-hop jazz, aussi appelé rap jazz, jazz rap ou jazz-hop, est un sous-genre du hip-hop. Ce terme est utilisé par une partie de la presse et des auditeurs de rap pour catégoriser les artistes et morceaux de rap qui utilisent des samples ou des orchestrations jazz,,. Bien qu’utilisé par la presse et des auditeurs, le terme peut être qualifié de « non-officiel », puisque beaucoup d’artistes ayant composé des morceaux de hip-hop jazz ne se revendiquent pas particulièrement d’un courant appelé tel quel."
Jazz vocal,"Le jazz vocal est un sous-genre du jazz, où la voix prédomine au sein de la composition. Il est ainsi fréquemment opposé au jazz instrumental, où prédomine le jeu des musiciens. Les parties chantées peuvent consister en du chant clair, mais aussi comprendre du vocalese ou du scat. Ces techniques vocales sont regroupées sous la notion de chant jazz."
Jazz West Coast,"Le jazz West Coast  est un genre musical de jazz pratiqué en Californie, aux États-Unis, par les musiciens, en majorité blancs dans les années 1950, plus précisément entre 1952 et 1958. La grande concentration de musiciens dans cette région, due en grande partie au travail offert par les studios de Hollywood alors en plein essor, permet l'éclosion d'une scène jazz très active. Au regard de la diversité des productions du jazz West Coast, la majorité des critiques et amateurs reconnaissent cependant une certaine parenté esthétique, au-delà de l'unité historique et géographique."
Jazzstep,Le jazzstep est un sous-genre musical de la drum and bass.
Jump blues,Descripción no encontrada
Jump-up,"La jump-up, également stylisé jump up, aussi appelé jump-up drum 'n' bass, est un sous-genre dérivé de drum and bass, ayant émergé au milieu des années 1990."
Jumpstyle,"Le jumpstyle est un sous-genre musical dérivé de la techno hardcore, ayant émergé en Belgique et aux Pays-Bas, et par la suite popularisé en Europe, comme en Irlande, au Royaume-Uni et en France. La danse typique au jumpstyle est appelée jumpen ."
Jungle,La jungle est un style de musique électronique apparu vers 1993 en Angleterre. Elle prend ses sources dans la culture rave londonienne. Elle vient du darkcore. Elle donne naissance à la drum and bass dont les deux principaux courants sont l'artcore  et le techstep .
K-pop,K-pop  est un terme désignant plusieurs genres musicaux  originaires de Corée du Sud et caractérisés par une large variété d'éléments audiovisuels.
Kaneka,Le kaneka est un genre musical calédonien créé en 1984 lors de la préparation du 4e festival des arts du Pacifique.
Kansas City blues,Le Kansas City blues est un genre de blues né à Kansas City  où de nombreux amateurs et musiciens de blues et de jazz se retrouvent dans les nombreux clubs que compte la ville ou bien à l'occasion du Kansas City Music Blues & Jazz Festival.
Kasékò,"Le Kasékò, est un genre musical de Guyane. Joué lors de traditionnelles bal convoués, il désigne aussi les tambours ainsi que la danse de ce genre musical et est de loin le rythme et la danse traditionnelle le plus populaire du territoire,,."
Kawaii metal,"Le kawaii metal , également connu sous le nom de idol metal, cute metal, ou kawaiicore, est un genre musical mélangeant des éléments de heavy metal et de J-pop qui s'est développé au Japon au début des années 2010. Une composition de kawaii metal typique consiste à combiner des musiques issues de différents types de musique heavy metal, des mélodies J-pop et l'esthétique du mouvement des idoles japonaises. Les sujets des textes du kawaii metal sont souvent plus légers que ceux des autres genres de heavy metal."
Kizomba,"La kizomba  désigne un genre musical et la danse qui l'accompagne, faisant partie de la culture de l'Angola. Ce genre s'est d'abord répandu dans les pays lusophones, puis dans les pays européens, et ensuite dans des pays non-européens comme les États-Unis et l'Australie."
Klezmer,"Le klezmer  est une tradition musicale instrumentale des Juifs ashkénazes. Elle s’est développée à partir du XVe siècle et ses origines – dépourvues de sources documentaires d’époque mais vraisemblables — seraient les musiques du Moyen-Orient, d’Europe centrale, d’Europe de l'Est ."
Kompa,"Le compas, ou compas direct , est un genre musical originaire d'Haïti. Inventé par le saxophoniste et guitariste haïtien Nemours Jean-Baptiste au milieu des années 1950, le Compas Direct associe différentes influences. Il dérive pour partie de la méringue et du quadrille haïtiens, ainsi que du twoubadou, tout en empruntant des éléments au jazz et à la musique cubaine."
Krautrock,"Le krautrock désigne ironiquement le rock progressif, expérimental et psychédélique allemand ayant émergé à la fin des années 1960, un mouvement essentiellement incarné par des groupes d'Allemagne de l'Ouest. Les représentants principaux sont Tangerine Dream, Can, Faust, Neu!, Klaus Schulze, Popol Vuh, Amon Düül et Kraftwerk. 
Le krautrock connaît un regain d'intérêt dans les années 1980, alors que l'apogée du style se situe entre le début et le milieu des années 1970. Utilisant largement les instruments électroniques, le krautrock sera l'une des principales influences de l'ambient, du post-rock ou encore de la new age."
Kuduro,"Le kuduro  est un genre de musique et de danse originaire de l'Angola. Le kuduro est devenu un phénomène musical dans tous les pays lusophones, ainsi que dans d'autres parties du monde."
Kwaito,"Le kwaito est un genre musical ayant émergé à Johannesbourg, en Afrique du Sud, pendant les années 1990. Il s'agit d'une variante de musique house faisant usage d'échantillons sonores  issus de musiques africaines. Caractérisé par un tempo moins rapide que les autres genres house, le kwaito se compose souvent de mélodies entraînantes, de boucles percussives, de lignes de basses profondes, et de parties vocales. Le genre est quelque peu similaire au hip-hop dans sa manière de chanter, rapper ou crier les paroles."
Latin house,"La latin house est un sous-genre musical de la house avec des influences de musique latine et principalement produite par des DJ portugais, roumain et espagnol. Le son est composé de beat electro, dance avec des accompagnements parfois de guitare, accordéon, et de percussions ,, et d'un rythme 4/4. Ce genre musical est très populaire en Amérique latine, en Europe et aux États-Unis."
Latin jazz,"Le latin jazz ou jazz latino est un genre de jazz qui plonge ses racines dans la fusion  rythmiques de cuivres, de percussions et des formes originales de la musique latine, en particulier cubaine et brésilienne, avec des éléments de jazz. Sa conformation en tant que sous-genre défini se produit en 1943 avec l'émergence du jazz afro-cubain et des années plus tard avec la création de la bossa nova en 1957."
Latin metal,"Le latin metal, ou metal sud-américain , est un sous-genre musical de heavy metal aux origines, influences et à l'instrumentation typiquement latino-américaines comme des paroles en espagnol et des percussions latines."
Lento violento,"Le lento violento, ou simplement lento, est un sous-genre de musique électronique ayant émergé à la fin des années 1990 en Italie et tout au début des années 2000, caractérisé par un faible tempo oscillant généralement entre 85 et 115 BPM. Il se caractérise également de lignes de kicks profonds orientés techno hardcore et hardstyle, accompagnés de voix et de samples axés acid."
Léròl,Le léròl est à la fois un rythme et une danse. Il s'agit de la variante guyanaise du quadrille créole accompagné de trois tambours et d'un hochet .
Liquid funk,"Le liquid funk  est un sous-genre musical du drum and bass. Le nom du genre est attribué au début des années 2000 par DJ Fabio, un DJ britannique."
Livetronica,"La livetronica, ou jamtronica, est un genre musical mêlant des éléments de jam band à ceux de l'electronica,. Le nom du genre est un jeu de mots entre les termes « musique live » et « electronica »."
Lo-fi,"Lo-fi   est une expression apparue à la fin des années 1980 aux États-Unis pour désigner certains groupes ou musiciens underground adoptant des méthodes d'enregistrement primitives pour produire un son « sale », volontairement opposé aux sonorités jugées aseptisées de certaines musiques populaires. L'expression est l'antonyme de hi-fi ."
Logobi,Le Logobi   est une danse ivoirienne consistant à faire des mouvements avec les mains.
Louisiana blues,"Le Louisiana blues est un genre de blues qui se distingue par des rythmes lourds qui produisent une musique sombre et intense. Il s'est développé dans la période après la Seconde Guerre mondiale dans l'état de la Louisiane. De ce style est né un sous-genre, le swamp blues , qui souligne et amplifie le caractère sombre et les rythmes lourds du Louisiana blues standard."
Lounge,"La musique lounge  désigne au départ la musique jouée dans les salons des bars d'hôtels et de casinos, mais également dans les petits cabarets et les piano-bars. C'est la version « excentrique » de la easy listening."
Luk thung,Descripción no encontrada
Madchester,Le terme Madchester  et le nom de la ville de Manchester) apparaît pour la première fois avec les Happy Mondays qui avaient baptisé un de leurs disques Madchester Rave On.
Mainstream jazz,Le mainstream  est un courant du jazz apparu au milieu des années 1950.
Mainstream hardcore,"Le mainstream hardcore, ou simplement hardcore, est un sous-genre de la techno hardcore ayant émergé au début des années 2000 après le déclin du early hardcore. Depuis la fin des années 2010, le genre précède l'uptempo en terme de popularité."
Makina,"La makina  est un sous-genre musical de la techno hardcore ayant émergé en Espagne au début des années 1990. Elle se caractérise par un tempo élevé oscillant entre 150 à 190 BPM, des kicks profonds et parfois distordus, des basses ainsi que des mélodies simples. Le mot signifie « machine » en espagnol, et est pour la première fois utilisé en 1995 pour décrire un style de musique déviant joué dans les discothèques situées à proximité des zones industrielles."
Makossa,"Le Makossa est un type de musique camerounais. C'était au départ une composante exclusive de la culture douala mais de nos jours est adopté en tant que musique populaire dans tout le pays. Il est semblable au soukous, avec plus de basses et de cuivres. Il est issu d'une danse traditionnelle sawa, l'Ambas-Bay, avec des influences significatives de jazz, de musique antillaise, de musique latine, et de rumba rumba congolaise  et du seben . Ce style musical urbain fait partie des quatre rythmes principaux au Cameroun avec le bikutsi, le mangambeu et l'assiko."
Maloya,Descripción no encontrada
Mambo,"Le mambo est à la fois un genre musical cubain et un style de danse populaire inventé dans les années 1930 par le musicien et compositeur cubain Arsenio Rodríguez,  développé à La Havane par Cachao et popularisé par Dámaso Pérez Prado et Benny Moré."
Mandopop,"La mandopop , littéralement, Musique populaire est une abréviation familière pour Mandarin popular music. Elle est également parfois surnommée « mandapop ». Elle est catégorisée comme un sous-genre de la musique commerciale chinoise, tout comme la cantopop. La mandopop est la première variété de musique populaire en chinois à devenir une industrie viable. Comme son nom l'indique, la mandopop est composée de chansons principalement chantées en mandarin standard. Les consommateurs de cette musique incluent des fans, fans en particulier parlant le mandarin, en Chine, Malaisie, Singapour, Taïwan, Japon et dans d'autres pays."
Mangue beat,"Le mangue beat  est un mouvement musical et culturel apparu dans la ville de Recife, au nord-est du Brésil, au début des années 1990."
Marche,"Une marche, qu'elle soit militaire, dansante ou circonstancielle, est un genre musical au rythme régulièrement cadencé, permettant de régler ou d'accompagner le déplacement d'un cortège lors d'une procession, d'un défilé ou d'une parade."
Mashup,Descripción no encontrada
Math rock,"Le math rock est un genre musical de rock expérimental et de rock indépendant caractérisé par une complexité rythmique et un enchaînement de riffs et mélodies, souvent dissonants ayant émergé à la fin des années 1980, influencé par des groupes de rock progressif comme King Crimson et de musique minimaliste comme Steve Reich. Il se caractérise par des signatures rythmiques atypiques, une composition en contrepoint et l'utilisation d'accord augmentés."
Mathcore,"Le mathcore  est un sous-genre de metalcore dissonant et de rythmique complexe. Il tient ses racines de groupes tels que Converge, Botch, et The Dillinger Escape Plan,. Le terme de mathcore est une déclinaison du math rock. Des groupes math rock tels que Slint, Don Caballero, Shellac et Drive Like Jehu ont influencé le mathcore, bien que le genre soit plus associé au metalcore. Les groupes importants de mathcore sont associés au metalcore et au grindcore,,,,."
Mbalax,"Le mbalax ou mbalakh  est un rythme musical sénégalais. C'est une musique populaire au Sénégal, basée sur les percussions dont le tama et le sabar"
Medieval rock,"Le medieval rock  est un sous-genre musical ayant émergé dans les années 1970 en Angleterre et en Allemagne, mêlant musique ancienne et rock. Il émerge dans les mouvements electric folk et folk progressif à la fin des années 1960. Le terme était utilisé pour catégoriser les musiciens incorporant des éléments sonores issus de musiques médiévales, de la Renaissance et baroque à leurs chansons, et souvent pour décrire des groupes usant ou non d'instruments électriques."
Memphis blues,"Le Memphis blues est un genre de blues qui est apparu dans les années 1920 et les années 1930 avec des musiciens de Memphis ou ses environs comme Frank Stokes, Sleepy John Estes, Furry Lewis ou Memphis Minnie."
Merengue,"Le merengue est un genre musical et une danse nés en République dominicaine  vers 1800, et également interprétés par des artistes portoricains. Le genre est l'un des plus populaires en Amérique latine et dans de nombreuses villes aux États-Unis. Une des hypothèses serait qu'il viendrait d'une danse appelée la upa habanera qui comportait un pas de danse appelé « merengue », mais il pourrait provenir d'un rythme nommé « mangulina »."
Merenhouse,"Le merenhouse, merenhouse ou merenrap, est un genre musical de hip-hop mêlant merengue dominicain et rap, dancehall et hip-hop. Le groupe Proyecto Uno est le pionnier du genre. Le merenhouse possède la même instrumentation que le merengue, incluant saxophone, trompette, accordéon, guitare basse acoustique, guitare, et güira ; cependant, ces instruments peuvent se mêler à des sons électroniques."
Metal alternatif,"Le metal alternatif, également connu sous les termes alt-metal ou hard alternatif, est un genre de heavy metal. Le metal alternatif fait souvent usage d'éléments sonores issus du heavy metal avec quelques influences du rock alternatif et d'autres genres non assimilés au metal,. Les groupes de metal alternatif sont souvent caractérisés par des riffs de guitare, des chants mélodieux, des sons inhabituels dans les autres genres du heavy metal, des structures sonores inhabituelles, et parfois une approche expérimentale de la musique heavy metal. Le terme est utilisé depuis les années 1980, bien qu'il se soit réellement popularisé durant les années 1990. Il parvient à lancer de nouveaux sous-genres, dont le nu metal, qui popularise encore plus le metal alternatif, et ajoute divers éléments de hip-hop et de groove metal."
Metal avant-gardiste,"Le metal avant-gardiste , est un genre musical dérivé du heavy metal qui se caractérise par une large tendance à l'expérimentation et un goût pour des sonorités, des instruments, ou des structures de chansons peu conventionnelles. Les premiers exemples de metal avant-gardiste remontent à Celtic Frost, Fleurety et Ved Buens Ende."
Metal celtique,"Le metal celtique est un sous-genre du folk metal, ayant émergé dans les années 1990 en Irlande. Comme son nom l'indique, le genre est une fusion de heavy metal  et de musique celtique. Les pionniers du genre sont trois groupes irlandais Cruachan, Primordial et Waylander. Le genre franchit depuis le sol irlandais, et est connu pour être réalisé par des groupes de nombreux autres pays. Il se rapproche parfois du rock celtique."
Metal chrétien,"Le metal chrétien, ou white metal est une forme de heavy metal caractérisée par des paroles orientées vers le christianisme. Le metal chrétien est habituellement joué par des individus de foi chrétienne, souvent des individus écoutant du heavy metal et dont la musique est distribuée par des médias chrétiens."
Metal extrême,"Le metal extrême est un terme utilisé pour décrire quelques sous-genres dérivés du heavy metal. Le terme est essentiellement utilisé depuis le début des années 1980, principalement aux États-Unis  puis en Europe , décrivant les genres de metal plus ou moins influencés par la New wave of British heavy metal, et le punk hardcore."
Metal gothique,"Le metal gothique  est un genre musical se trouvant à la croisée du death-doom, du heavy metal et de la musique gothique. Il se développe initialement au début des années 1990 en Europe et aux États-Unis."
Metal industriel,"Le metal industriel est un sous-genre de heavy metal qui puise ses influences dans la musique industrielle, le thrash metal et le punk hardcore, en utilisant les riffs du metal et du punk, l'échantillonnage, les séquenceurs, les synthétiseurs et les voix déformées. Les groupes fondateurs du metal industriel sont Ministry, Laibach, Killing Joke, Godflesh et KMFDM."
Metal néo-classique,"Le metal néo-classique est une branche du heavy metal mettant l'emphase à la fois sur les influences classiques et sur la virtuosité instrumentale. La particularité du genre est de marier les structures populaires du heavy metal traditionnel à des emprunts mélodiques ou des arrangements de musique classique.  Cette tendance a été initiée au cours des années 1980 par des guitaristes comme Randy Rhoads, Jason Becker et surtout Yngwie Malmsteen. Ce dernier a été aussi influencé par l'approche de guitaristes de hard-rock comme Ritchie Blackmore, connu pour ses nombreux emprunts à la musique classique. Le terme « metal néoclassique » pour désigner ce type de musique est venu après, avec la génération qui a suivi à la fin des années 1990 et s'est inspirée de Rhoads, Becker et Malmsteen."
Metal oriental,"Le metal oriental est un sous-genre du folk metal mélangeant heavy metal et éléments de musique orientale traditionnelle. La musique se développe en Israël à la première moitié des années 1990 avec des groupes comme Orphaned Land, Melechesh et Salem, considérés par la presse spécialisée comme pionniers du genre. Des groupes d'autres pays comme Myrath en Tunisie ou Shokran en Russie se développent par la suite."
Metal progressif,"Le metal progressif ou progressive metal, est un sous-genre du heavy metal et du rock progressif, ayant émergé au Royaume-Uni et aux États-Unis durant les années 1970. Le metal progressif mélange des éléments de heavy metal et de rock progressif, en y reprenant son « agressivité » et une sonorité de guitare électrique heavy metal amplifiée, accompagnées de compositions expérimentales, complexes et « pseudo-classiques ». Le metal progressif fait souvent usage de thèmes conceptuels associés au rock progressif. Au fil des années, le metal progressif s'inspire de nombreux autres genres, incluant musique classique et jazz fusion."
Metal symphonique,"Le metal symphonique est un sous-genre du heavy metal associant différentes caractéristiques de ce genre, incluant batterie et guitare, à divers arrangements d'inspiration orchestrale marqués par l'influence importante de la musique orchestrale de film ainsi que de la musique classique. Le terme « symphonique »  est ici une description informelle car beaucoup de groupes ne s'appuient pas réellement sur des structures proprement symphoniques : ces groupes n'entendent pas écrire de véritables symphonies au sens strict du terme, mais des chansons s'inspirant des atmosphères et du souffle épique de certaines partitions orchestrales. Par ailleurs, seuls quelques groupes ont véritablement recours à des ensembles orchestraux, par exemple le London Symphony Orchestra avec l'album Once du groupe Nightwish, ou encore le Metropole Orchestra avec le live Black Symphony du groupe Within Temptation. Avec son compositeur Luca Turilli, le groupe italien Rhapsody, puis Luca Turilli's Rhapsody, en est l'un des principaux créateurs.
La grande majorité des groupes de metal symphonique ont le plus généralement recours à des claviers ou à des échantillons sonores, plutôt qu'à des orchestres pour suggérer les ambiances symphoniques. Le terme symphonique veut donc ici simplement dire que ces musiques cherchent à invoquer une part du caractère grandiose et majestueux de la musique symphonique."
Metalcore,"Le metalcore est un genre dérivé du heavy metal et du punk hardcore ayant essentiellement émergé aux États-Unis à la fin des années 1980. Il existe deux genres de metalcore : le metalcore original, qui conserve les riff du punk hardcore et la brutalité du heavy metal, et le metalcore mélodique qui combine les sons et les traits du death metal mélodique avec le punk hardcore, metalcore et parfois emo."
Metalcore mélodique,"Le metalcore mélodique est un genre de fusion musicale mélangeant les sons et traits du death metal mélodique avec le punk hardcore, metalcore et parfois à l'emo."
Mgodro,"Le Mgodro  est un rythme et une danse typiquement mahoraise,, c'est une musique populaire à Mayotte."
Miami bass,"La Miami bass  est un sous-genre musical du hip-hop popularisé dans les années 1980 et 1990. Les racines du genre sont directement ancrées dans l'electro-funk du début des années 1980. Son utilisation de caisses produites par le Roland TR-808, son tempo rapide, et son contenu lyriquement à caractère sexuel le différencie des autres sous-genres du hip-hop."
Microhouse,"La microhouse  est un genre de musique électronique, qu’on classe dans la grande famille des musiques répétitives. Il s'agit d'un sous-genre musical de la house, dont elle doit une partie de son nom par le fait qu'elles partagent la même structure rythmique générale. Le terme « micro » désigne les micros éléments ajoutés à la musique : des samples  de sons assez courts, qui donnent sa spécificité au genre. Ces samples et le genre tout entier sont particulièrement inspirés par la musique concrète, la musique minimaliste et la techno des années 1990."
Midwest rap,"Le Midwest rap, ou hip-hop Midwest, est un genre musical issu du hip-hop originaire de la région du Midwest, aux États-Unis. Le genre se popularise initialement au milieu des années 1990 grâce à des rappeurs extrêmement rapides connus sous le nom de « choppers » comme Bone Thugs-n-Harmony , Twista et Da Brat , Tech N9ne , Atmosphere , et Eminem ."
Milonga,"La milonga est un genre musical rural né dans la pampa argentine,, qui est typique d'Argentine, d’Uruguay et de l’État de Rio Grande do Sul au Brésil. Ce genre est également typique de la culture gaucho.
Elle existe sous deux formes, la milonga pampas, appartenant à la musique dite Surera, et qui est la forme originale, et la milonga ciudadana , créée plus tardivement, en 1931, par Sebastián Piana avec Milonga sentimental."
Minneapolis sound,"Le Minneapolis sound est un genre musical développé par l'artiste américain Prince à la fin des années 1970. Il est décrit comme un mélange hybride de funk, rock, pop et new wave et a surtout influencé les artistes associés à Prince, en particulier The Time et les producteurs Jimmy Jam et Terry Lewis, mais aussi une grande partie de la dance-pop des années 1980,."
Moombahcore,"Le moombahton est un genre de fusion musical entre la house et le reggaeton, créé par le disc jockey et producteur américain Dave Nada  à Washington, DC, en 2009. Musicalement, il mélange les origines rythmiques de la dutch house ou de l'electro house, le tempo ralenti du reggaeton, habituellement entre 108 et 115 battements par minute , accompagnées de percussions en provenance du reggaeton. D'autres caractéristiques du genre comprennent notamment de grosses basses. Nada invente le nom du genre par un jeu de mots entre « Moombah »  et « reggaeton » ."
Moombahton,"Le moombahton est un genre de fusion musical entre la house et le reggaeton, créé par le disc jockey et producteur américain Dave Nada  à Washington, DC, en 2009. Musicalement, il mélange les origines rythmiques de la dutch house ou de l'electro house, le tempo ralenti du reggaeton, habituellement entre 108 et 115 battements par minute , accompagnées de percussions en provenance du reggaeton. D'autres caractéristiques du genre comprennent notamment de grosses basses. Nada invente le nom du genre par un jeu de mots entre « Moombah »  et « reggaeton » ."
Mozambique,"Le Mozambique est un genre musical cubain dansant créé dans les années 1960 par Pedro Izquierdo, surnommé Pello el Afrokán, cousin de Mongo Santamaría.
Pello el Afrokán lui a donné le nom de Mozambique. Bien que le rythme partage de nombreuses caractéristiques avec les traditions musicales d'Afrique subsaharienne, il n'a rien à voir avec la musique de la nation africaine du Mozambique. Le Mozambique cubain comporte des tambours de conga, des bombos , des cloches de vache et des trombones. Le Mozambique est une musique de carnaval jouée à l'origine seulement par des percussions. Elle fut présentée en 1963 dans l'émission de télévision Ritmos de la Juventud."
Murga,"La murga désigne à la fois un genre musical et une formation musico-théâtrale traditionnelle en Uruguay, en Argentine et en Espagne qui évolue dans le contexte des fêtes du Carnaval. Le mot ""murga"", d'origine espagnole, est introduit dans la région du Rio de la Plata au début du XXe siècle par une compagnie espagnole de zarzuela originaire de Cadix. Un parfait exemple de murga argentine est la chanson Matador du groupe Los Fabulosos Cadillacs. Celle-ci inclut l'usage d'un sifflet, un élément très typique dans la murga argentine."
Musette,"Un bal musette est un bal populaire, souvent champêtre, où l'on danse au son de l'accordéon. On y pratique surtout des danses de style musette telles que la valse musette, le tango musette et le paso musette, mais également la java et le paso doble, ainsi qu'un grand nombre d'autres danses suivant les époques, les régions, ou le répertoire d'un orchestre de bal."
Música popular brasileira,"La música popular brasileira , connue sous le sigle MPB, est un genre musical brésilien ayant émergé au milieu des années 1960 en prolongement de la bossa nova. Au Brésil, cette musique est populaire surtout au sein de la classe moyenne urbaine."
Musique acoustique,"La musique acoustique n'emploie pas d'instruments électroniques modernes. Si la musique moderne recourt de plus en plus à des moyens automatisés de production sonore, comme les synthétiseurs, les échantillonneurs, les ordinateurs, etc., la musique acoustique, au contraire, se base sur l'emploi d'instruments de musique « classiques », qui peuvent fonctionner sans électricité. La guitare acoustique, généralement non accompagnée, ou très légèrement, constitue un bon exemple de musique acoustique. On parle de « groupe acoustique » pour qualifier les groupes qui font ce type de musique."
Musique aléatoire,"La musique aléatoire est un courant de la musique occidentale savante né dans la deuxième moitié du XXe siècle caractérisée par l'exploitation du hasard dans certains éléments de sa composition. Développée par des musiciens tels que John Cage ou Earle Brown, la musique aléatoire a attiré plusieurs compositeurs qui ont tenté de travailler avec le « hasard ».
Cette option de hasard — ou d'aléa — s’articule pour John Cage autour du Yi Jing  « Classique des changements ». La principale œuvre est ""Music of Changes"" écrite en 1951 pour piano. Le tirage du Yi Jing sera employé grâce à un petit programme informatique par John Cage quasiment systématiquement dans le choix de l'ordonnancement des éléments de compositions préalablement choisi. Le système en ""fenêtre de temps"" à partir de 1985 en est un exemple évident.
Pour Earle Brown qui ironisait sur le ""Flip flop"" cagien, il s'appuya pour la création de la première partition graphique  ""Folio"" dès 1952 sur l'expérience de la peinture de Jackson Pollock et ses Dripping ainsi que des mobiles d'Alexander Calder.
Le pianiste David Tudor fut l'interprète privilégié de ces compositions et développa comme compositeur plus tard des musiques électroniques"
Musique alternative,"Une musique alternative est une musique qui s’affranchit de tout type d’appartenance de style, de forme de jeu, de famille musicale, de règles à respecter. Elle s’invente avec ses propres critères de composition, de réalisation ou de diffusion. On retrouve dans la musique alternative, de nombreuses influences musicales, sans pour autant que celle-ci s'enferme dans des codes spécifiques de genre. La notion d'alternative réside également dans l'idée d'une certaine liberté face aux systèmes industriels existants. On peut donc dire qu'il n'existe pas une seule forme de musique alternative, mais que celle-ci est forcément inclassable, ouverte et plurielle."
Musique ancienne,"Généralement, on entend par musique ancienne la musique composée avant le XVIIIe siècle. Il s'agit aussi d'un mouvement général de conception de la musique et de son interprétation."
Musique arabo-andalouse,"La musique arabo-andalouse ou musique « andalouse », ou bien musique mauro-andalouse,, aussi appelée al musiqa al andalusiya, ou en Algérie,  gharnati, sanâa et malouf pour les variantes régionales et aroubi, chaâbi, hawzi pour les genres dérivés et tarab al-ala, tarab al-andaloussi au Maroc, malouf en Tunisie et en Libye est un genre musical profane, classique ou savant, du Maghreb, distinct de la musique arabe classique pratiquée au Moyen-Orient  et en Égypte."
Musique baroque,"La musique baroque est une période de la musique classique qui apparaît avec le baroque au xviie siècle et évolue jusqu'à la fin du siècle suivant. Divisée en plusieurs périodes, la musique baroque recouvre différents genres musicaux, depuis la musique instrumentale jusqu'à l'opéra, qui est à l'origine de la naissance de ce dernier. La musique baroque s'étend géographiquement sur une bonne partie de l'Europe de l'ouest, dont les principaux pays représentants sont la France et l'Italie, et trouve également un écho remarquable dans les pays germaniques. Des figures majeures de la musique baroque font aujourd'hui partie des compositeurs de premier plan au sein de la musique savante, tels que Jean-Sébastien Bach, Georg Friedrich Haendel, Heinrich Schütz, Antonio Vivaldi et Jean-Philippe Rameau."
Musique bretonne,"La musique bretonne est l'expression musicale de la Bretagne. Sous ses formes traditionnelles instrumentales , elle incorpore des instruments nouveaux . Ses formes d'expression sont aujourd'hui très diverses ."
Musique bruitiste,"La musique bruitiste, de l'anglais noise music, est une vaste appellation pouvant regrouper divers genres musicaux, relevant de plusieurs grandes familles musicales : l'électroacoustique, la musique improvisée, le jazz, la musique industrielle et le rock. Elle se caractérise par l'assemblage de sons communément perçus comme désagréables ou douloureux, et prend à contre-pied les plus communes définitions de la musique, fondées sur sa dimension esthétique, pour s'intéresser à d'autres aspects de l'œuvre musicale : sa structure, son sens, son effet sur l'auditeur, ou les différentes caractéristiques du son."
Musique cadienne,"La musique cadienne  des habitants francophones de la Louisiane est un mélange de genres musicaux et d'influences culturelles en particulier des ballades des Acadiens du Canada.
La musique cajun a influencé la musique populaire américaine en particulier la musique country."
Musique celtique,"La musique celtique désigne un ensemble de musiques traditionnelles  issues de différents territoires d'Europe occidentale considérés comme « celtiques », d'après un concept né vers le XVIIe siècle."
